id,neighbourhood_group,neighbourhood,latitude,longitude,price,minimum_nights,availability_365
35121302,San Blas - Canillejas,Rosas,40.43441,-3.60877,25,1,0
35121395,Vicálvaro,Casco Histórico de Vicálvaro,40.40432,-3.55804,38,1,365
35121463,Tetuán,Berruguete,40.46118,-3.70046,78,1,170
35121832,Tetuán,Cuatro Caminos,40.45442,-3.69934,400,1,365
35121887,Barajas,Alameda de Osuna,40.45404,-3.59281,300,1,88
35121915,Ciudad Lineal,Pueblo Nuevo,40.42321,-3.63703,400,2,179
35122019,San Blas - Canillejas,Rosas,40.43078,-3.60412,400,1,364
35122511,Carabanchel,Buenavista,40.3652,-3.76055,250,1,91
35123419,Tetuán,Valdeacederas,40.4671,-3.69702,40,1,0
35123949,Salamanca,Guindalera,40.438,-3.67264,75,1,1
35124033,Usera,Orcasur,40.37082,-3.69783,18,30,1
35124286,Centro,Palacio,40.40975,-3.71054,100,2,365
35124327,Usera,Orcasur,40.37087,-3.69613,12,30,1
35124624,Usera,Orcasur,40.37085,-3.69727,13,30,288
35124786,Usera,Orcasur,40.37035,-3.6958,12,30,353
35124953,Usera,Orcasur,40.36959,-3.69585,14,30,227
35125203,Arganzuela,Acacias,40.40097,-3.70938,350,1,89
35125225,Arganzuela,Chopera,40.39717,-3.69851,116,2,90
35125746,Latina,Cuatro Vientos,40.36803,-3.76345,20,2,87
35126047,Barajas,Timón,40.46872,-3.58592,500,1,365
35126049,Barajas,Alameda de Osuna,40.45688,-3.58812,350,1,179
35126768,San Blas - Canillejas,Simancas,40.43924,-3.62995,46,3,365
35126955,Puente de Vallecas,Palomeras Bajas,40.38965,-3.66201,500,1,179
35128498,Fuencarral - El Pardo,Peñagrande,40.48128,-3.72118,50,2,0
35128811,Hortaleza,Piovera,40.46034,-3.63108,100,1,0
35132406,Ciudad Lineal,Pueblo Nuevo,40.42175,-3.62958,500,1,180
35132510,San Blas - Canillejas,Hellín,40.42939,-3.61535,300,1,362
35135275,Tetuán,Almenara,40.46607,-3.6915,1500,1,90
35135894,San Blas - Canillejas,Hellín,40.433,-3.61638,2000,1,364
35136438,Usera,Pradolongo,40.38328,-3.70707,21,1,365
35136742,Chamberí,Trafalgar,40.42972,-3.70403,300,1,365
35137113,Salamanca,Goya,40.42448,-3.6696,2550,2,0
35137335,San Blas - Canillejas,Arcos,40.42658,-3.61196,500,1,365
35137476,Fuencarral - El Pardo,La Paz,40.48278,-3.70303,550,1,0
35137896,Vicálvaro,Casco Histórico de Vicálvaro,40.40377,-3.60052,250,2,364
35138680,San Blas - Canillejas,Canillejas,40.44439,-3.61021,600,1,180
35139385,Centro,Embajadores,40.4124,-3.70449,50,28,27
35139544,San Blas - Canillejas,Simancas,40.43448,-3.61723,500,1,365
35139787,Chamartín,Prosperidad,40.44206,-3.67211,300,1,365
35139816,San Blas - Canillejas,Arcos,40.42272,-3.6193,600,1,365
35140069,Centro,Palacio,40.41458,-3.70847,50,1,0
35140216,Centro,Embajadores,40.40771,-3.70464,200,2,90
35140309,Chamartín,Prosperidad,40.44197,-3.66948,500,1,0
35141367,San Blas - Canillejas,Rosas,40.42916,-3.60887,1650,1,365
35141670,Centro,Universidad,40.42343,-3.70475,1500,1,1
35142861,Usera,Almendrales,40.38668,-3.69852,1000,1,365
35144068,Retiro,Niño Jesús,40.41606,-3.67352,575,3,1
35144571,Carabanchel,Abrantes,40.375,-3.73315,25,2,365
35144723,Chamartín,Prosperidad,40.44087,-3.67331,175,1,90
35144912,San Blas - Canillejas,Canillejas,40.44796,-3.60974,550,2,0
35145957,Carabanchel,Vista Alegre,40.38719,-3.73471,120,1,364
35146564,Moncloa - Aravaca,Casa de Campo,40.41878,-3.74934,1000,1,365
35147123,Carabanchel,Buenavista,40.36713,-3.75509,600,1,365
35147337,Moncloa - Aravaca,Ciudad Universitaria,40.4632,-3.72255,250,2,363
35147624,San Blas - Canillejas,Simancas,40.43668,-3.61959,400,1,365
35148241,Centro,Embajadores,40.41271,-3.70691,300,1,0
35149419,San Blas - Canillejas,Canillejas,40.44937,-3.61633,6000,1,365
35149673,Centro,Embajadores,40.41387,-3.70365,138,1,283
35149813,Chamartín,El Viso,40.43817,-3.68485,600,1,90
35150455,Fuencarral - El Pardo,Pilar,40.47318,-3.71395,371,1,365
35150763,Hortaleza,Pinar del Rey,40.4711,-3.65518,300,1,181
35151189,Latina,Aguilas,40.38849,-3.7665,45,4,1
35151346,Centro,Justicia,40.4236,-3.69982,60,3,0
35151407,Centro,Justicia,40.42055,-3.69718,50,1,365
35151542,Centro,Palacio,40.41082,-3.71079,600,1,180
35152400,Ciudad Lineal,Pueblo Nuevo,40.43234,-3.64543,150,1,179
35153771,Arganzuela,Palos de Moguer,40.40366,-3.69772,140,3,0
35153806,Chamartín,Ciudad Jardín,40.44547,-3.67365,600,1,178
35154524,San Blas - Canillejas,Hellín,40.4307,-3.6174,920,1,365
35155139,San Blas - Canillejas,Rosas,40.42861,-3.60124,300,1,365
35155173,Chamberí,Gaztambide,40.43456,-3.71522,295,1,0
35155733,San Blas - Canillejas,Hellín,40.43127,-3.61234,1050,1,365
35156393,Villaverde,San Andrés,40.34283,-3.70851,16,1,0
35156559,Vicálvaro,Casco Histórico de Vicálvaro,40.40424,-3.60633,820,2,89
35156683,Barajas,Timón,40.47584,-3.58225,41,1,0
35157033,Salamanca,Lista,40.4298,-3.67019,250,2,90
35157149,Chamartín,Ciudad Jardín,40.4454,-3.67553,300,1,179
35157261,Centro,Embajadores,40.41016,-3.70264,56,2,166
35157587,Chamartín,El Viso,40.44805,-3.68993,150,1,0
35157642,Carabanchel,Buenavista,40.36724,-3.7616,250,1,83
35157883,Hortaleza,Valdefuentes,40.49226,-3.66243,350,1,365
35158135,Chamberí,Gaztambide,40.43844,-3.71199,235,2,1
35158187,Salamanca,Recoletos,40.42688,-3.68182,400,2,89
35158373,Moratalaz,Media Legua,40.41248,-3.66075,25,2,87
35158678,San Blas - Canillejas,Arcos,40.42225,-3.61375,300,1,365
35158853,Salamanca,Guindalera,40.43034,-3.66764,999,1,89
35159007,Carabanchel,Buenavista,40.36905,-3.76244,250,1,84
35159034,Chamberí,Arapiles,40.43086,-3.7095,289,1,365
35159132,Hortaleza,Valdefuentes,40.49818,-3.65161,2000,1,89
35159155,Usera,Pradolongo,40.3816,-3.7061,400,1,89
35159411,Centro,Justicia,40.42547,-3.69479,200,3,179
35159695,San Blas - Canillejas,Rosas,40.42895,-3.60146,500,1,179
35159933,San Blas - Canillejas,Salvador,40.44129,-3.62892,200,1,365
35160022,Ciudad Lineal,San Pascual,40.43976,-3.65068,96,2,0
35160038,Centro,Universidad,40.42784,-3.70544,700,1,90
35160088,Hortaleza,Pinar del Rey,40.47262,-3.63813,250,1,365
35160097,Moratalaz,Fontarrón,40.39927,-3.64051,900,1,83
35160128,Tetuán,Cuatro Caminos,40.45621,-3.69284,1800,1,179
35160140,Carabanchel,Vista Alegre,40.38172,-3.74871,20,1,365
35160170,Latina,Aluche,40.39531,-3.76924,80,1,0
35160554,Centro,Embajadores,40.41063,-3.6997,46,3,255
35160899,Latina,Puerta del Angel,40.411,-3.73531,400,1,90
35161139,Moratalaz,Fontarrón,40.40131,-3.64457,25,1,364
35161664,San Blas - Canillejas,Rosas,40.43042,-3.60327,180,1,365
35163206,Moratalaz,Marroquina,40.40966,-3.63627,40,1,88
35164074,Centro,Justicia,40.42386,-3.69727,179,2,89
35166709,Hortaleza,Pinar del Rey,40.47116,-3.6496,30,2,364
35169232,San Blas - Canillejas,Canillejas,40.43983,-3.60951,600,1,90
35169427,San Blas - Canillejas,Rejas,40.44677,-3.5787,1000,1,90
35171550,Latina,Aguilas,40.3893,-3.76643,45,4,91
35172635,Salamanca,Recoletos,40.42545,-3.68261,750,1,89
35172698,Salamanca,Castellana,40.43581,-3.68415,30,1,0
35172895,Salamanca,Fuente del Berro,40.425,-3.66584,191,2,365
35173352,Tetuán,Berruguete,40.45826,-3.70558,300,1,364
35173600,Tetuán,Cuatro Caminos,40.45325,-3.69929,399,1,364
35174023,San Blas - Canillejas,Rejas,40.44465,-3.58397,650,1,365
35174427,San Blas - Canillejas,Arcos,40.42196,-3.62591,450,1,365
35174432,Centro,Cortes,40.41438,-3.69962,89,2,349
35175181,San Blas - Canillejas,Rosas,40.43472,-3.60832,800,1,89
35175563,San Blas - Canillejas,Simancas,40.43211,-3.62524,350,1,363
35175776,Arganzuela,Palos de Moguer,40.40479,-3.69276,60,7,35
35175794,Villaverde,San Andrés,40.34161,-3.71677,150,2,364
35176254,Puente de Vallecas,San Diego,40.39495,-3.66928,40,1,358
35177106,Carabanchel,Opañel,40.39259,-3.72484,200,1,1
35177239,Chamartín,Hispanoamérica,40.45569,-3.68938,1100,2,365
35177488,Ciudad Lineal,San Pascual,40.444,-3.64845,500,1,365
35177931,Salamanca,Goya,40.42542,-3.67345,110,2,32
35178196,San Blas - Canillejas,Hellín,40.42898,-3.6133,600,1,365
35178492,San Blas - Canillejas,Arcos,40.42452,-3.61933,950,1,365
35178521,San Blas - Canillejas,Rosas,40.44743,-3.60449,500,1,363
35178958,San Blas - Canillejas,Rejas,40.44304,-3.58532,650,1,90
35179066,San Blas - Canillejas,Canillejas,40.44315,-3.61253,500,1,180
35179201,Centro,Palacio,40.41103,-3.71189,173,1,0
35179457,Latina,Puerta del Angel,40.40943,-3.7293,120,2,91
35179676,Arganzuela,Palos de Moguer,40.40377,-3.69609,150,1,0
35179782,Ciudad Lineal,Ventas,40.4262,-3.64849,500,1,365
35179881,Centro,Universidad,40.42268,-3.70496,29,1,90
35180544,Fuencarral - El Pardo,La Paz,40.48345,-3.69402,650,1,180
35180897,Chamberí,Arapiles,40.43566,-3.7048,400,2,0
35180905,Centro,Universidad,40.42659,-3.70443,130,3,0
35181139,San Blas - Canillejas,Canillejas,40.44506,-3.6099,1000,1,0
35181153,Latina,Puerta del Angel,40.41111,-3.72918,120,2,365
35181747,Centro,Embajadores,40.41382,-3.70568,300,1,180
35181784,Latina,Aguilas,40.39055,-3.76764,33,2,0
35181812,Centro,Embajadores,40.41308,-3.70737,69,1,0
35181818,Ciudad Lineal,Pueblo Nuevo,40.43085,-3.64057,750,1,365
35182184,Chamberí,Vallehermoso,40.43924,-3.71509,350,1,179
35182351,Ciudad Lineal,Pueblo Nuevo,40.42947,-3.63458,500,1,179
35183903,Chamberí,Rios Rosas,40.44214,-3.70125,45,1,0
35184308,Carabanchel,Buenavista,40.36553,-3.76138,250,1,365
35184595,Villaverde,Los Angeles,40.35593,-3.69487,1000,1,90
35185102,San Blas - Canillejas,Rejas,40.4461,-3.58302,69,1,0
35185510,Salamanca,Goya,40.42821,-3.66896,150,2,0
35185989,Arganzuela,Chopera,40.39624,-3.70121,30,1,364
35186519,Hortaleza,Valdefuentes,40.50587,-3.64142,350,1,89
35186546,Moratalaz,Media Legua,40.40792,-3.65686,43,1,364
35186569,Ciudad Lineal,Pueblo Nuevo,40.42669,-3.63587,26,1,365
35187453,Puente de Vallecas,Palomeras Sureste,40.38733,-3.64358,30,2,364
35187630,Chamberí,Trafalgar,40.43333,-3.70263,109,1,68
35188614,Centro,Embajadores,40.41065,-3.70544,78,1,0
35189097,Salamanca,Guindalera,40.43642,-3.67264,1100,1,90
35190163,San Blas - Canillejas,Simancas,40.43964,-3.62306,900,1,0
35190236,Arganzuela,Palos de Moguer,40.40435,-3.69647,87,3,89
35190329,Ciudad Lineal,Quintana,40.43672,-3.64453,400,1,365
35190410,Salamanca,Guindalera,40.43517,-3.67331,300,1,1
35190580,Moncloa - Aravaca,Argüelles,40.42976,-3.7224,300,1,179
35190853,San Blas - Canillejas,Canillejas,40.43559,-3.61088,300,1,0
35191872,Ciudad Lineal,San Pascual,40.43762,-3.6554,3000,1,0
35191937,Chamberí,Trafalgar,40.43521,-3.69926,20,3,0
35191988,Salamanca,Recoletos,40.42664,-3.68296,500,1,0
35192130,Centro,Palacio,40.42141,-3.71306,25,2,105
35192136,Moratalaz,Marroquina,40.40614,-3.63642,500,1,1
35192214,Chamberí,Trafalgar,40.4335,-3.69878,20,3,0
35192234,Centro,Universidad,40.4251,-3.70374,400,1,0
35192340,Chamberí,Almagro,40.43551,-3.69743,20,3,0
35192551,Chamberí,Trafalgar,40.43431,-3.69931,20,3,0
35192638,Chamberí,Trafalgar,40.43399,-3.69903,20,3,0
35192768,San Blas - Canillejas,Hellín,40.43162,-3.61689,1000,1,179
35192776,Chamberí,Almagro,40.43555,-3.69721,20,3,0
35192871,Chamberí,Almagro,40.43557,-3.69745,20,3,0
35192895,San Blas - Canillejas,Canillejas,40.43777,-3.60938,150,1,365
35193153,Arganzuela,Palos de Moguer,40.40437,-3.6904,120,2,0
35193412,Centro,Embajadores,40.41251,-3.70564,20,3,0
35193433,Centro,Embajadores,40.40817,-3.7028,35,2,89
35193438,San Blas - Canillejas,Simancas,40.435,-3.61656,135,3,289
35193935,Chamberí,Vallehermoso,40.44612,-3.7108,2950,1,90
35194535,Tetuán,Bellas Vistas,40.45257,-3.70645,1500,1,1
